id,pred
S001,D20
S002,D20
S003,D20
S004,D20
S005,D20
S006,D20
S007,D12
S008,D15
S009,D16
S010,D20
S011,D15
S012,D20
S013,D15
S014,D15
S015,D12
S016,D20
S017,D20
S018,D12
S019,D28
S020,D15
S021,D16
S022,D12
S023,D1
S024,D20
S025,D20
S026,D20
S027,D3
S028,D15
S029,D20
S030,D20
S031,D15
S032,D15
S033,D28
S034,D12
S035,D12
S036,D13
S037,D1
S038,D1
S039,D15
S040,D12
S041,D20
S042,D20
S043,D4
S044,D20
S045,D20
S046,D12
S047,D15
S048,D3
S049,D20
S050,D20
S051,D15
S052,D12
S053,D1
S054,D12
S055,D15
S056,D20
S057,D28
S058,D20
S059,D1
S060,D12
S061,D12
S062,D28
S063,D15
S064,D1
S065,D20
S066,D4
S067,D1
S068,D20
S069,D20
S070,D20
S071,D20
S072,D1
S073,D20
S074,D20
S075,D3
S076,D27
S077,D15
S078,D20
S079,D15
S080,D20
S081,D12
S082,D1
S083,D20
S084,D1
S085,D1
S086,D1
S087,D20
S088,D12
S089,D12
S090,D28
S091,D28
S092,D20
S093,D12
S094,D20
S095,D12
S096,D20
S097,D20
S098,D20
S099,D12
S100,D15
